nohup: ignoring input
/home/x/epermiyt/scraper.py:244: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  scraped_at = datetime.utcnow().isoformat()
Found 230 permit links (will visit up to 200)
Scraped 2025-LMDEMO-0000319 (1)
Scraped 2025-LMDEMO-0000318 (2)
Scraped 2025-DEMO-0000658 (3)
Scraped 2025-DEMO-0000657 (4)
Scraped 2025-DEMO-0000656 (5)
Scraped 2025-DEMO-0000655 (6)
Scraped 2025-LMDEMO-0000316 (7)
Scraped 2025-DEMO-0000654 (8)
Scraped 2025-DEMO-0000653 (9)
Scraped 2025-LMDEMO-0000317 (10)
Scraped 2025-DEMO-0000652 (11)
Scraped 2025-DEMO-0000651 (12)
Scraped 2025-DEMO-0000650 (13)
Scraped 2025-DEMO-0000649 (14)
Error scraping item {'text': '2025-DEMO-0000648', 'href': '/DENVER/Cap/CapDetail.aspx?Module=Development&TabName=Development&capID1=25CAP&capID2=00000&capID3=04VVW&agencyCode=DENVER&IsToShowInspection='} Timeout 10000ms exceeded.
Scraped 2025-DEMO-0000647 (15)
Scraped 2025-DEMO-0000646 (16)
Scraped 2025-DEMO-0000645 (17)
Scraped 2025-LMDEMO-0000315 (18)
Scraped 2025-LMDEMO-0000314 (19)
Scraped 2025-DEMO-0000644 (20)
Scraped 2025-DEMO-0000643 (21)
Scraped 2025-DEMO-0000642 (22)
Scraped 2025-DEMO-0000641 (23)
Scraped 2025-DEMO-0000638 (24)
Scraped 2025-DEMO-0000639 (25)
Scraped 2025-DEMO-0000640 (26)
Scraped 2025-LMDEMO-0000313 (27)
Scraped 2025-DEMO-0000637 (28)
Scraped 2025-DEMO-0000636 (29)
Scraped 2025-DEMO-0000635 (30)
Scraped 2025-LMDEMO-0000310 (31)
Scraped 2025-LMDEMO-0000308 (32)
Scraped 2025-LMDEMO-0000309 (33)
Scraped 2025-LMDEMO-0000312 (34)
Scraped 2025-LMDEMO-0000307 (35)
Scraped 2025-LMDEMO-0000311 (36)
Scraped 2025-LMDEMO-0000306 (37)
Scraped 2025-DEMO-0000634 (38)
Scraped 2025-DEMO-0000633 (39)
Scraped 2025-DEMO-0000632 (40)
Scraped 2025-LMDEMO-0000305 (41)
Scraped 2025-DEMO-0000631 (42)
Scraped 2025-DEMO-0000630 (43)
Scraped 2025-DEMO-0000629 (44)
Scraped 2025-LMDEMO-0000304 (45)
Scraped 2025-LMDEMO-0000303 (46)
Scraped 2025-DEMO-0000628 (47)
